Detector type, Descriptor type, Number of matched keypoints, Time detectors (ms), Time descriptors (ms), Total time
SHITOMASI,BRISK,95,7.29861,0.315052,7.61366
SHITOMASI,BRISK,88,7.08769,0.24613,7.33382
SHITOMASI,BRISK,80,7.06012,0.251525,7.31165
SHITOMASI,BRISK,90,7.25117,0.255339,7.5065
SHITOMASI,BRISK,82,7.84816,0.252981,8.10114
SHITOMASI,BRISK,79,7.3276,0.24328,7.57088
SHITOMASI,BRISK,85,9.05021,0.25114,9.30135
SHITOMASI,BRISK,86,6.78779,0.25004,7.03783
SHITOMASI,BRISK,82,7.13392,0.256542,7.39046
SHITOMASI,BRIEF,115,7.90104,0.276979,8.17802
SHITOMASI,BRIEF,111,7.21706,0.215524,7.43259
SHITOMASI,BRIEF,104,7.91097,0.222916,8.13389
SHITOMASI,BRIEF,101,7.17411,0.260313,7.43443
SHITOMASI,BRIEF,102,8.31931,0.287081,8.60639
SHITOMASI,BRIEF,102,9.08999,0.208463,9.29845
SHITOMASI,BRIEF,100,8.73489,0.210987,8.94587
SHITOMASI,BRIEF,109,7.83186,0.254062,8.08592
SHITOMASI,BRIEF,100,6.98068,0.233552,7.21423
SHITOMASI,ORB,106,7.06902,0.280747,7.34977
SHITOMASI,ORB,102,7.44238,0.215531,7.65791
SHITOMASI,ORB,99,10.139,0.262283,10.4013
SHITOMASI,ORB,102,6.97883,0.224656,7.20349
SHITOMASI,ORB,103,7.58027,0.247771,7.82804
SHITOMASI,ORB,97,8.21863,0.263057,8.48169
SHITOMASI,ORB,98,8.60552,0.210435,8.81596
SHITOMASI,ORB,104,7.77952,0.209257,7.98878
SHITOMASI,ORB,97,7.84978,0.216178,8.06596
SHITOMASI,FREAK,86,7.3766,0.345834,7.72243
SHITOMASI,FREAK,90,7.30816,0.253155,7.56132
SHITOMASI,FREAK,86,7.34208,0.242352,7.58443
SHITOMASI,FREAK,88,6.8328,0.268609,7.10141
SHITOMASI,FREAK,86,7.09591,0.238404,7.33431
SHITOMASI,FREAK,80,7.27264,0.234648,7.50729
SHITOMASI,FREAK,81,7.68941,0.25151,7.94092
SHITOMASI,FREAK,86,7.04489,0.249723,7.29462
SHITOMASI,FREAK,85,8.52283,0.241081,8.76391
SHITOMASI,SIFT,112,9.76959,0.385735,10.1553
SHITOMASI,SIFT,109,11.0402,0.307589,11.3478
SHITOMASI,SIFT,104,10.822,0.27728,11.0993
SHITOMASI,SIFT,103,10.9291,0.276746,11.2058
SHITOMASI,SIFT,99,11.2718,0.266736,11.5385
SHITOMASI,SIFT,101,10.9242,0.298399,11.2226
SHITOMASI,SIFT,96,11.3102,0.291818,11.602
SHITOMASI,SIFT,106,11.2852,0.302179,11.5873
SHITOMASI,SIFT,97,10.4719,0.265517,10.7374
HARRIS,BRISK,12,8.72233,0.157227,8.87956
HARRIS,BRISK,10,8.46132,0.081562,8.54289
HARRIS,BRISK,14,8.85106,0.083642,8.9347
HARRIS,BRISK,16,9.55327,0.085999,9.63927
HARRIS,BRISK,16,26.9436,0.123908,27.0675
HARRIS,BRISK,17,8.32012,0.142332,8.46246
HARRIS,BRISK,15,10.9722,0.078547,11.0507
HARRIS,BRISK,22,9.48639,0.123555,9.60995
HARRIS,BRISK,21,14.7981,0.13449,14.9326
HARRIS,BRIEF,14,8.57742,0.130754,8.70817
HARRIS,BRIEF,11,8.36432,0.043321,8.40764
HARRIS,BRIEF,16,8.71422,0.045867,8.76009
HARRIS,BRIEF,21,10.2408,0.069098,10.3099
HARRIS,BRIEF,23,28.7689,0.080002,28.8489
HARRIS,BRIEF,28,7.82638,0.090923,7.9173
HARRIS,BRIEF,16,10.9538,0.050376,11.0042
HARRIS,BRIEF,25,9.18539,0.07497,9.26036
